OMRÅDE;TID;INDHOLD
Hele landet;2021M10;5867412
Hele landet;2021M11;5870785
Hele landet;2021M12;5873623
Hele landet;2022M01;5873420
Hele landet;2022M02;5875393
Hele landet;2022M03;5880087
Hele landet;2022M04;5883562
Hele landet;2022M05;5892871
Hele landet;2022M06;5904245
Hele landet;2022M07;5910577
Hele landet;2022M08;5913538
Hele landet;2022M09;5920527
Hele landet;2022M10;5928364
Hele landet;2022M11;5931586
Hele landet;2022M12;5934002
Hele landet;2023M01;5932654
Hele landet;2023M02;5935619
Hele landet;2023M03;5938745
Hele landet;2023M04;5941388
Hele landet;2023M05;5942520
Hele landet;2023M06;5942711
Hele landet;2023M07;5944145
Hele landet;2023M08;5945278
Hele landet;2023M09;5952575
Hele landet;2023M10;5959464
Hele landet;2023M11;5962302
Hele landet;2023M12;5964059
Hele landet;2024M01;5961249
Hele landet;2024M02;5962689
Hele landet;2024M03;5965990
Hele landet;2024M04;5967824
Region Hovedstaden;2021M10;1866088
Region Hovedstaden;2021M11;1867476
Region Hovedstaden;2021M12;1868521
Region Hovedstaden;2022M01;1867948
Region Hovedstaden;2022M02;1868907
Region Hovedstaden;2022M03;1871462
Region Hovedstaden;2022M04;1872791
Region Hovedstaden;2022M05;1875166
Region Hovedstaden;2022M06;1877258
Region Hovedstaden;2022M07;1879191
Region Hovedstaden;2022M08;1880043
Region Hovedstaden;2022M09;1884253
Region Hovedstaden;2022M10;1889272
Region Hovedstaden;2022M11;1891313
Region Hovedstaden;2022M12;1892814
Region Hovedstaden;2023M01;1891871
Region Hovedstaden;2023M02;1894887
Region Hovedstaden;2023M03;1896934
Region Hovedstaden;2023M04;1898426
Region Hovedstaden;2023M05;1899303
Region Hovedstaden;2023M06;1899086
Region Hovedstaden;2023M07;1900006
Region Hovedstaden;2023M08;1900642
Region Hovedstaden;2023M09;1905635
Region Hovedstaden;2023M10;1910395
Region Hovedstaden;2023M11;1912356
Region Hovedstaden;2023M12;1913497
Region Hovedstaden;2024M01;1911067
Region Hovedstaden;2024M02;1913090
Region Hovedstaden;2024M03;1915483
Region Hovedstaden;2024M04;1916575
København;2021M10;643613
København;2021M11;644582
København;2021M12;644987
København;2022M01;644431
København;2022M02;644944
København;2022M03;646479
København;2022M04;646812
København;2022M05;647339
København;2022M06;647309
København;2022M07;647509
København;2022M08;647071
København;2022M09;649060
København;2022M10;652564
København;2022M11;653905
København;2022M12;654759
København;2023M01;653664
København;2023M02;655304
København;2023M03;656236
København;2023M04;656787
København;2023M05;656886
København;2023M06;655819
København;2023M07;655730
København;2023M08;655423
København;2023M09;657826
København;2023M10;660842
København;2023M11;661786
København;2023M12;662022
København;2024M01;659350
København;2024M02;660692
København;2024M03;662181
København;2024M04;662366
Frederiksberg;2021M10;103782
Frederiksberg;2021M11;103859
Frederiksberg;2021M12;103963
Frederiksberg;2022M01;103608
Frederiksberg;2022M02;103683
Frederiksberg;2022M03;103838
Frederiksberg;2022M04;103940
Frederiksberg;2022M05;104102
Frederiksberg;2022M06;104117
Frederiksberg;2022M07;104094
Frederiksberg;2022M08;104024
Frederiksberg;2022M09;104636
Frederiksberg;2022M10;104801
Frederiksberg;2022M11;104901
Frederiksberg;2022M12;104909
Frederiksberg;2023M01;104664
Frederiksberg;2023M02;104839
Frederiksberg;2023M03;105036
Frederiksberg;2023M04;104968
Frederiksberg;2023M05;104886
Frederiksberg;2023M06;104818
Frederiksberg;2023M07;104566
Frederiksberg;2023M08;104423
Frederiksberg;2023M09;105029
Frederiksberg;2023M10;105293
Frederiksberg;2023M11;105377
Frederiksberg;2023M12;105360
Frederiksberg;2024M01;104899
Frederiksberg;2024M02;105100
Frederiksberg;2024M03;105323
Frederiksberg;2024M04;105469
Dragør;2021M10;14616
Dragør;2021M11;14597
Dragør;2021M12;14602
Dragør;2022M01;14640
Dragør;2022M02;14611
Dragør;2022M03;14592
Dragør;2022M04;14585
Dragør;2022M05;14600
Dragør;2022M06;14633
Dragør;2022M07;14669
Dragør;2022M08;14678
Dragør;2022M09;14667
Dragør;2022M10;14631
Dragør;2022M11;14635
Dragør;2022M12;14636
Dragør;2023M01;14609
Dragør;2023M02;14583
Dragør;2023M03;14539
Dragør;2023M04;14535
Dragør;2023M05;14527
Dragør;2023M06;14531
Dragør;2023M07;14519
Dragør;2023M08;14527
Dragør;2023M09;14532
Dragør;2023M10;14545
Dragør;2023M11;14538
Dragør;2023M12;14549
Dragør;2024M01;14569
Dragør;2024M02;14572
Dragør;2024M03;14538
Dragør;2024M04;14504
Tårnby;2021M10;42664
Tårnby;2021M11;42677
Tårnby;2021M12;42728
Tårnby;2022M01;42723
Tårnby;2022M02;42728
Tårnby;2022M03;42762
Tårnby;2022M04;42819
Tårnby;2022M05;42887
Tårnby;2022M06;43005
Tårnby;2022M07;43042
Tårnby;2022M08;43140
Tårnby;2022M09;43147
Tårnby;2022M10;43129
Tårnby;2022M11;43077
Tårnby;2022M12;43061
Tårnby;2023M01;43042
Tårnby;2023M02;43047
Tårnby;2023M03;43078
Tårnby;2023M04;43138
Tårnby;2023M05;43161
Tårnby;2023M06;43248
Tårnby;2023M07;43309
Tårnby;2023M08;43448
Tårnby;2023M09;43622
Tårnby;2023M10;43678
Tårnby;2023M11;43721
Tårnby;2023M12;43801
Tårnby;2024M01;43915
Tårnby;2024M02;43895
Tårnby;2024M03;43886
Tårnby;2024M04;43877
Albertslund;2021M10;27411
Albertslund;2021M11;27480
Albertslund;2021M12;27575
Albertslund;2022M01;27599
Albertslund;2022M02;27650
Albertslund;2022M03;27589
Albertslund;2022M04;27548
Albertslund;2022M05;27498
Albertslund;2022M06;27539
Albertslund;2022M07;27547
Albertslund;2022M08;27520
Albertslund;2022M09;27507
Albertslund;2022M10;27576
Albertslund;2022M11;27544
Albertslund;2022M12;27563
Albertslund;2023M01;27530
Albertslund;2023M02;27549
Albertslund;2023M03;27539
Albertslund;2023M04;27527
Albertslund;2023M05;27515
Albertslund;2023M06;27493
Albertslund;2023M07;27499
Albertslund;2023M08;27528
Albertslund;2023M09;27580
Albertslund;2023M10;27662
Albertslund;2023M11;27651
Albertslund;2023M12;27671
Albertslund;2024M01;27677
Albertslund;2024M02;27682
Albertslund;2024M03;27677
Albertslund;2024M04;27633
Ballerup;2021M10;49259
Ballerup;2021M11;49205
Ballerup;2021M12;49228
Ballerup;2022M01;49274
Ballerup;2022M02;49295
Ballerup;2022M03;49394
Ballerup;2022M04;49422
Ballerup;2022M05;49508
Ballerup;2022M06;49537
Ballerup;2022M07;49623
Ballerup;2022M08;49620
Ballerup;2022M09;49719
Ballerup;2022M10;49854
Ballerup;2022M11;49899
Ballerup;2022M12;49946
Ballerup;2023M01;50039
Ballerup;2023M02;50042
Ballerup;2023M03;50096
Ballerup;2023M04;50141
Ballerup;2023M05;50227
Ballerup;2023M06;50267
Ballerup;2023M07;50474
Ballerup;2023M08;50487
Ballerup;2023M09;50663
Ballerup;2023M10;50812
Ballerup;2023M11;50929
Ballerup;2023M12;51119
Ballerup;2024M01;51237
Ballerup;2024M02;51338
Ballerup;2024M03;51372
Ballerup;2024M04;51619
Brøndby;2021M10;35501
Brøndby;2021M11;35506
Brøndby;2021M12;35535
Brøndby;2022M01;35651
Brøndby;2022M02;35781
Brøndby;2022M03;35775
Brøndby;2022M04;35850
Brøndby;2022M05;36031
Brøndby;2022M06;36054
Brøndby;2022M07;36161
Brøndby;2022M08;36312
Brøndby;2022M09;36338
Brøndby;2022M10;36610
Brøndby;2022M11;36683
Brøndby;2022M12;36935
Brøndby;2023M01;37128
Brøndby;2023M02;37281
Brøndby;2023M03;37387
Brøndby;2023M04;37519
Brøndby;2023M05;37667
Brøndby;2023M06;37778
Brøndby;2023M07;37899
Brøndby;2023M08;38062
Brøndby;2023M09;38355
Brøndby;2023M10;38652
Brøndby;2023M11;38828
Brøndby;2023M12;39007
Brøndby;2024M01;39067
Brøndby;2024M02;39140
Brøndby;2024M03;39287
Brøndby;2024M04;39400
Gentofte;2021M10;74270
Gentofte;2021M11;74253
Gentofte;2021M12;74154
Gentofte;2022M01;74217
Gentofte;2022M02;74259
Gentofte;2022M03;74226
Gentofte;2022M04;74268
Gentofte;2022M05;74301
Gentofte;2022M06;74398
Gentofte;2022M07;74492
Gentofte;2022M08;74609
Gentofte;2022M09;74694
Gentofte;2022M10;74666
Gentofte;2022M11;74757
Gentofte;2022M12;74849
Gentofte;2023M01;74838
Gentofte;2023M02;74933
Gentofte;2023M03;74950
Gentofte;2023M04;74985
Gentofte;2023M05;75042
Gentofte;2023M06;75029
Gentofte;2023M07;75015
Gentofte;2023M08;75038
Gentofte;2023M09;74996
Gentofte;2023M10;74992
Gentofte;2023M11;75033
Gentofte;2023M12;74996
Gentofte;2024M01;75033
Gentofte;2024M02;74986
Gentofte;2024M03;75042
Gentofte;2024M04;75001
Gladsaxe;2021M10;69135
Gladsaxe;2021M11;69165
Gladsaxe;2021M12;69321
Gladsaxe;2022M01;69259
Gladsaxe;2022M02;69244
Gladsaxe;2022M03;69246
Gladsaxe;2022M04;69264
Gladsaxe;2022M05;69377
Gladsaxe;2022M06;69537
Gladsaxe;2022M07;69520
Gladsaxe;2022M08;69616
Gladsaxe;2022M09;69754
Gladsaxe;2022M10;69887
Gladsaxe;2022M11;70001
Gladsaxe;2022M12;70064
Gladsaxe;2023M01;70001
Gladsaxe;2023M02;70005
Gladsaxe;2023M03;70079
Gladsaxe;2023M04;70067
Gladsaxe;2023M05;70130
Gladsaxe;2023M06;70250
Gladsaxe;2023M07;70322
Gladsaxe;2023M08;70441
Gladsaxe;2023M09;70520
Gladsaxe;2023M10;70573
Gladsaxe;2023M11;70565
Gladsaxe;2023M12;70687
Gladsaxe;2024M01;70600
Gladsaxe;2024M02;70690
Gladsaxe;2024M03;70682
Gladsaxe;2024M04;70681
Glostrup;2021M10;23543
Glostrup;2021M11;23529
Glostrup;2021M12;23519
Glostrup;2022M01;23514
Glostrup;2022M02;23474
Glostrup;2022M03;23477
Glostrup;2022M04;23510
Glostrup;2022M05;23489
Glostrup;2022M06;23540
Glostrup;2022M07;23555
Glostrup;2022M08;23566
Glostrup;2022M09;23631
Glostrup;2022M10;23636
Glostrup;2022M11;23661
Glostrup;2022M12;23633
Glostrup;2023M01;23635
Glostrup;2023M02;23650
Glostrup;2023M03;23661
Glostrup;2023M04;23660
Glostrup;2023M05;23643
Glostrup;2023M06;23635
Glostrup;2023M07;23669
Glostrup;2023M08;23651
Glostrup;2023M09;23694
Glostrup;2023M10;23709
Glostrup;2023M11;23724
Glostrup;2023M12;23695
Glostrup;2024M01;23655
Glostrup;2024M02;23669
Glostrup;2024M03;23640
Glostrup;2024M04;23666
Herlev;2021M10;28868
Herlev;2021M11;28872
Herlev;2021M12;28861
Herlev;2022M01;28867
Herlev;2022M02;28849
Herlev;2022M03;28845
Herlev;2022M04;28807
Herlev;2022M05;28848
Herlev;2022M06;28855
Herlev;2022M07;28864
Herlev;2022M08;28920
Herlev;2022M09;28938
Herlev;2022M10;29027
Herlev;2022M11;29115
Herlev;2022M12;29164
Herlev;2023M01;29215
Herlev;2023M02;29323
Herlev;2023M03;29344
Herlev;2023M04;29332
Herlev;2023M05;29327
Herlev;2023M06;29346
Herlev;2023M07;29318
Herlev;2023M08;29310
Herlev;2023M09;29459
Herlev;2023M10;29533
Herlev;2023M11;29688
Herlev;2023M12;29814
Herlev;2024M01;29876
Herlev;2024M02;29982
Herlev;2024M03;30040
Herlev;2024M04;30037
Hvidovre;2021M10;53277
Hvidovre;2021M11;53277
Hvidovre;2021M12;53292
Hvidovre;2022M01;53267
Hvidovre;2022M02;53216
Hvidovre;2022M03;53209
Hvidovre;2022M04;53223
Hvidovre;2022M05;53247
Hvidovre;2022M06;53328
Hvidovre;2022M07;53324
Hvidovre;2022M08;53289
Hvidovre;2022M09;53359
Hvidovre;2022M10;53474
Hvidovre;2022M11;53524
Hvidovre;2022M12;53490
Hvidovre;2023M01;53443
Hvidovre;2023M02;53495
Hvidovre;2023M03;53500
Hvidovre;2023M04;53549
Hvidovre;2023M05;53577
Hvidovre;2023M06;53628
Hvidovre;2023M07;53625
Hvidovre;2023M08;53696
Hvidovre;2023M09;53760
Hvidovre;2023M10;53773
Hvidovre;2023M11;53766
Hvidovre;2023M12;53737
Hvidovre;2024M01;53760
Hvidovre;2024M02;53776
Hvidovre;2024M03;53785
Hvidovre;2024M04;53785
Høje-Taastrup;2021M10;52702
Høje-Taastrup;2021M11;52795
Høje-Taastrup;2021M12;52936
Høje-Taastrup;2022M01;53053
Høje-Taastrup;2022M02;53129
Høje-Taastrup;2022M03;53370
Høje-Taastrup;2022M04;53538
Høje-Taastrup;2022M05;53658
Høje-Taastrup;2022M06;53971
Høje-Taastrup;2022M07;54192
Høje-Taastrup;2022M08;54418
Høje-Taastrup;2022M09;54515
Høje-Taastrup;2022M10;54648
Høje-Taastrup;2022M11;54835
Høje-Taastrup;2022M12;55076
Høje-Taastrup;2023M01;55258
Høje-Taastrup;2023M02;55604
Høje-Taastrup;2023M03;55737
Høje-Taastrup;2023M04;55895
Høje-Taastrup;2023M05;56058
Høje-Taastrup;2023M06;56143
Høje-Taastrup;2023M07;56300
Høje-Taastrup;2023M08;56563
Høje-Taastrup;2023M09;56773
Høje-Taastrup;2023M10;57079
Høje-Taastrup;2023M11;57273
Høje-Taastrup;2023M12;57404
Høje-Taastrup;2024M01;57540
Høje-Taastrup;2024M02;57584
Høje-Taastrup;2024M03;57801
Høje-Taastrup;2024M04;57941
Ishøj;2021M10;23131
Ishøj;2021M11;23180
Ishøj;2021M12;23194
Ishøj;2022M01;23225
Ishøj;2022M02;23262
Ishøj;2022M03;23303
Ishøj;2022M04;23293
Ishøj;2022M05;23310
Ishøj;2022M06;23248
Ishøj;2022M07;23317
Ishøj;2022M08;23374
Ishøj;2022M09;23434
Ishøj;2022M10;23487
Ishøj;2022M11;23451
Ishøj;2022M12;23421
Ishøj;2023M01;23457
Ishøj;2023M02;23547
Ishøj;2023M03;23604
Ishøj;2023M04;23653
Ishøj;2023M05;23667
Ishøj;2023M06;23677
Ishøj;2023M07;23643
Ishøj;2023M08;23624
Ishøj;2023M09;23631
Ishøj;2023M10;23650
Ishøj;2023M11;23681
Ishøj;2023M12;23660
Ishøj;2024M01;23663
Ishøj;2024M02;23689
Ishøj;2024M03;23752
Ishøj;2024M04;23727
Lyngby-Taarbæk;2021M10;57834
Lyngby-Taarbæk;2021M11;57886
Lyngby-Taarbæk;2021M12;57885
Lyngby-Taarbæk;2022M01;57826
Lyngby-Taarbæk;2022M02;57817
Lyngby-Taarbæk;2022M03;58016
Lyngby-Taarbæk;2022M04;58017
Lyngby-Taarbæk;2022M05;58198
Lyngby-Taarbæk;2022M06;58116
Lyngby-Taarbæk;2022M07;58075
Lyngby-Taarbæk;2022M08;57838
Lyngby-Taarbæk;2022M09;58209
Lyngby-Taarbæk;2022M10;58457
Lyngby-Taarbæk;2022M11;58472
Lyngby-Taarbæk;2022M12;58503
Lyngby-Taarbæk;2023M01;58434
Lyngby-Taarbæk;2023M02;58426
Lyngby-Taarbæk;2023M03;58474
Lyngby-Taarbæk;2023M04;58480
Lyngby-Taarbæk;2023M05;58493
Lyngby-Taarbæk;2023M06;58435
Lyngby-Taarbæk;2023M07;58365
Lyngby-Taarbæk;2023M08;58146
Lyngby-Taarbæk;2023M09;58666
Lyngby-Taarbæk;2023M10;58752
Lyngby-Taarbæk;2023M11;58765
Lyngby-Taarbæk;2023M12;58673
Lyngby-Taarbæk;2024M01;58538
Lyngby-Taarbæk;2024M02;58603
Lyngby-Taarbæk;2024M03;58677
Lyngby-Taarbæk;2024M04;58593
Rødovre;2021M10;41219
Rødovre;2021M11;41246
Rødovre;2021M12;41360
Rødovre;2022M01;41382
Rødovre;2022M02;41449
Rødovre;2022M03;41468
Rødovre;2022M04;41478
Rødovre;2022M05;41463
Rødovre;2022M06;41520
Rødovre;2022M07;41649
Rødovre;2022M08;41799
Rødovre;2022M09;42220
Rødovre;2022M10;42408
Rødovre;2022M11;42495
Rødovre;2022M12;42517
Rødovre;2023M01;42563
Rødovre;2023M02;42783
Rødovre;2023M03;42903
Rødovre;2023M04;43107
Rødovre;2023M05;43299
Rødovre;2023M06;43391
Rødovre;2023M07;43594
Rødovre;2023M08;43679
Rødovre;2023M09;43795
Rødovre;2023M10;43925
Rødovre;2023M11;44053
Rødovre;2023M12;44228
Rødovre;2024M01;44328
Rødovre;2024M02;44360
Rødovre;2024M03;44445
Rødovre;2024M04;44512
Vallensbæk;2021M10;16501
Vallensbæk;2021M11;16532
Vallensbæk;2021M12;16483
Vallensbæk;2022M01;16488
Vallensbæk;2022M02;16511
Vallensbæk;2022M03;16511
Vallensbæk;2022M04;16521
Vallensbæk;2022M05;16588
Vallensbæk;2022M06;16625
Vallensbæk;2022M07;16668
Vallensbæk;2022M08;16722
Vallensbæk;2022M09;16797
Vallensbæk;2022M10;16855
Vallensbæk;2022M11;16856
Vallensbæk;2022M12;16891
Vallensbæk;2023M01;17031
Vallensbæk;2023M02;17134
Vallensbæk;2023M03;17175
Vallensbæk;2023M04;17200
Vallensbæk;2023M05;17212
Vallensbæk;2023M06;17363
Vallensbæk;2023M07;17500
Vallensbæk;2023M08;17593
Vallensbæk;2023M09;17661
Vallensbæk;2023M10;17750
Vallensbæk;2023M11;17801
Vallensbæk;2023M12;17805
Vallensbæk;2024M01;17800
Vallensbæk;2024M02;17801
Vallensbæk;2024M03;17850
Vallensbæk;2024M04;17884
Allerød;2021M10;25882
Allerød;2021M11;25884
Allerød;2021M12;25853
Allerød;2022M01;25867
Allerød;2022M02;25829
Allerød;2022M03;25864
Allerød;2022M04;25876
Allerød;2022M05;25930
Allerød;2022M06;25967
Allerød;2022M07;26008
Allerød;2022M08;26059
Allerød;2022M09;26038
Allerød;2022M10;26039
Allerød;2022M11;26063
Allerød;2022M12;26049
Allerød;2023M01;26061
Allerød;2023M02;26035
Allerød;2023M03;26039
Allerød;2023M04;26016
Allerød;2023M05;25982
Allerød;2023M06;26029
Allerød;2023M07;26006
Allerød;2023M08;25999
Allerød;2023M09;25989
Allerød;2023M10;25955
Allerød;2023M11;25996
Allerød;2023M12;25982
Allerød;2024M01;25962
Allerød;2024M02;25967
Allerød;2024M03;25971
Allerød;2024M04;25977
Egedal;2021M10;44226
Egedal;2021M11;44298
Egedal;2021M12;44337
Egedal;2022M01;44375
Egedal;2022M02;44429
Egedal;2022M03;44485
Egedal;2022M04;44531
Egedal;2022M05;44670
Egedal;2022M06;44801
Egedal;2022M07;44893
Egedal;2022M08;45025
Egedal;2022M09;45001
Egedal;2022M10;45032
Egedal;2022M11;45087
Egedal;2022M12;45200
Egedal;2023M01;45202
Egedal;2023M02;45244
Egedal;2023M03;45323
Egedal;2023M04;45303
Egedal;2023M05;45347
Egedal;2023M06;45358
Egedal;2023M07;45384
Egedal;2023M08;45430
Egedal;2023M09;45478
Egedal;2023M10;45519
Egedal;2023M11;45542
Egedal;2023M12;45542
Egedal;2024M01;45532
Egedal;2024M02;45517
Egedal;2024M03;45530
Egedal;2024M04;45556
Fredensborg;2021M10;41152
Fredensborg;2021M11;41158
Fredensborg;2021M12;41191
Fredensborg;2022M01;41211
Fredensborg;2022M02;41261
Fredensborg;2022M03;41305
Fredensborg;2022M04;41337
Fredensborg;2022M05;41475
Fredensborg;2022M06;41597
Fredensborg;2022M07;41644
Fredensborg;2022M08;41719
Fredensborg;2022M09;41736
Fredensborg;2022M10;41713
Fredensborg;2022M11;41708
Fredensborg;2022M12;41716
Fredensborg;2023M01;41689
Fredensborg;2023M02;41722
Fredensborg;2023M03;41746
Fredensborg;2023M04;41721
Fredensborg;2023M05;41722
Fredensborg;2023M06;41760
Fredensborg;2023M07;41820
Fredensborg;2023M08;41803
Fredensborg;2023M09;41809
Fredensborg;2023M10;41805
Fredensborg;2023M11;41835
Fredensborg;2023M12;41920
Fredensborg;2024M01;42009
Fredensborg;2024M02;41974
Fredensborg;2024M03;41969
Fredensborg;2024M04;41995
Frederikssund;2021M10;45842
Frederikssund;2021M11;45794
Frederikssund;2021M12;45750
Frederikssund;2022M01;45800
Frederikssund;2022M02;45810
Frederikssund;2022M03;45828
Frederikssund;2022M04;45905
Frederikssund;2022M05;45953
Frederikssund;2022M06;46104
Frederikssund;2022M07;46213
Frederikssund;2022M08;46216
Frederikssund;2022M09;46209
Frederikssund;2022M10;46263
Frederikssund;2022M11;46200
Frederikssund;2022M12;46107
Frederikssund;2023M01;46117
Frederikssund;2023M02;46105
Frederikssund;2023M03;46119
Frederikssund;2023M04;46219
Frederikssund;2023M05;46255
Frederikssund;2023M06;46243
Frederikssund;2023M07;46288
Frederikssund;2023M08;46298
Frederikssund;2023M09;46269
Frederikssund;2023M10;46322
Frederikssund;2023M11;46344
Frederikssund;2023M12;46306
Frederikssund;2024M01;46358
Frederikssund;2024M02;46518
Frederikssund;2024M03;46513
Frederikssund;2024M04;46645
Furesø;2021M10;41360
Furesø;2021M11;41395
Furesø;2021M12;41379
Furesø;2022M01;41402
Furesø;2022M02;41415
Furesø;2022M03;41529
Furesø;2022M04;41577
Furesø;2022M05;41631
Furesø;2022M06;41753
Furesø;2022M07;41794
Furesø;2022M08;41901
Furesø;2022M09;41930
Furesø;2022M10;41913
Furesø;2022M11;41982
Furesø;2022M12;42029
Furesø;2023M01;42077
Furesø;2023M02;42158
Furesø;2023M03;42203
Furesø;2023M04;42146
Furesø;2023M05;42176
Furesø;2023M06;42254
Furesø;2023M07;42300
Furesø;2023M08;42372
Furesø;2023M09;42375
Furesø;2023M10;42447
Furesø;2023M11;42427
Furesø;2023M12;42451
Furesø;2024M01;42533
Furesø;2024M02;42504
Furesø;2024M03;42453
Furesø;2024M04;42441
Gribskov;2021M10;41228
Gribskov;2021M11;41148
Gribskov;2021M12;41132
Gribskov;2022M01;41147
Gribskov;2022M02;41159
Gribskov;2022M03;41188
Gribskov;2022M04;41269
Gribskov;2022M05;41419
Gribskov;2022M06;41495
Gribskov;2022M07;41576
Gribskov;2022M08;41661
Gribskov;2022M09;41667
Gribskov;2022M10;41622
Gribskov;2022M11;41567
Gribskov;2022M12;41524
Gribskov;2023M01;41547
Gribskov;2023M02;41536
Gribskov;2023M03;41648
Gribskov;2023M04;41808
Gribskov;2023M05;41812
Gribskov;2023M06;41854
Gribskov;2023M07;41937
Gribskov;2023M08;41969
Gribskov;2023M09;41981
Gribskov;2023M10;42014
Gribskov;2023M11;41937
Gribskov;2023M12;41909
Gribskov;2024M01;41920
Gribskov;2024M02;41877
Gribskov;2024M03;41825
Gribskov;2024M04;41817
Halsnæs;2021M10;31465
Halsnæs;2021M11;31367
Halsnæs;2021M12;31340
Halsnæs;2022M01;31344
Halsnæs;2022M02;31348
Halsnæs;2022M03;31370
Halsnæs;2022M04;31433
Halsnæs;2022M05;31426
Halsnæs;2022M06;31507
Halsnæs;2022M07;31607
Halsnæs;2022M08;31643
Halsnæs;2022M09;31601
Halsnæs;2022M10;31598
Halsnæs;2022M11;31546
Halsnæs;2022M12;31463
Halsnæs;2023M01;31466
